"PointID", "x", "y", "z", "Density", "Momentum_x", "Momentum_y", "Momentum_z", "Energy", "Nu_Tilde", "Pressure", "Temperature", "Mach", "Pressure_Coefficient", "Laminar_Viscosity", "Skin_Friction_Coefficient_x", "Skin_Friction_Coefficient_y", "Skin_Friction_Coefficient_z", "Heat_Flux", "Y_Plus", "Eddy_Viscosity"
20, 3.767596205469000e-01, 0.000000000000000e+00, -3.829268509301400e-02, 1.026412814225035e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.133961063971804e+00, 1.000000000000000e-10, 1.253584425588721e+00, 1.205038601722331e+00, 0.000000000000000e+00, 4.801370647345652e-01, 6.350675924187076e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
21, 3.484836379364999e-01, 0.000000000000000e+00, -3.900327382851000e-02, 1.040102744026233e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.189131083070235e+00, 1.000000000000000e-10, 1.275652433228094e+00, 1.210111968347207e+00, 0.000000000000000e+00, 5.242730800133105e-01, 6.370473566923555e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
22, 3.204482169780000e-01, 0.000000000000000e+00, -3.937103409866700e-02, 1.053313054149629e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.244883386908350e+00, 1.000000000000000e-10, 1.297953354763340e+00, 1.215824961119269e+00, 0.000000000000000e+00, 5.688749230838027e-01, 6.392716974174628e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
23, 2.928263323848000e-01, 0.000000000000000e+00, -3.940996417524300e-02, 1.065609672057428e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.299322971531947e+00, 1.000000000000000e-10, 1.319729188612778e+00, 1.221957510524998e+00, 0.000000000000000e+00, 6.124265907826797e-01, 6.416535054462250e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
24, 2.657868916917000e-01, 0.000000000000000e+00, -3.914873647113900e-02, 1.076791575328437e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.351247538120505e+00, 1.000000000000000e-10, 1.340499015248202e+00, 1.228299533409785e+00, 0.000000000000000e+00, 6.539662440535267e-01, 6.441103007610743e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
25, 2.394932997801000e-01, 0.000000000000000e+00, -3.862371754418401e-02, 1.086887430613462e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.400362618954725e+00, 1.000000000000000e-10, 1.360145047581890e+00, 1.234724582766264e+00, 0.000000000000000e+00, 6.932583087209027e-01, 6.465926982661983e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
26, 2.141001094368000e-01, 0.000000000000000e+00, -3.787265200801501e-02, 1.096134762616602e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.447428404129261e+00, 1.000000000000000e-10, 1.378971361651704e+00, 1.241254203967426e+00, 0.000000000000000e+00, 7.309109368605314e-01, 6.491087780791766e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
987, 8.322953467911001e-01, 1.324931278110000e-01, -1.456502113362000e-03, 8.934326289348155e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.677805696734983e+00, 1.000000000000000e-10, 1.071122278693993e+00, 1.182896317697878e+00, 0.000000000000000e+00, 1.152127709451096e-01, 6.263773816750565e-08, 5.290506492455139e-03, 1.607505853919698e-05, 7.112384927416269e-04, -7.091444003451895e+04, 1.920700484914570e+01, 1.160049870311317e-08
988, 8.213597801418000e-01, 1.326371537826000e-01, -2.916814216089000e-03, 8.962792295637074e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.686453815325540e+00, 1.000000000000000e-10, 1.074581526130216e+00, 1.182947510138541e+00, 0.000000000000000e+00, 1.221312658175546e-01, 6.263975674007949e-08, 5.294034103636501e-03, 1.517272748941019e-05, 6.974596575544668e-04, -7.086655127282327e+04, 1.921051234740784e+01, 1.160049870311317e-08
989, 8.099141414469001e-01, 1.327847684412000e-01, -4.418232335943000e-03, 8.991645577909281e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.695508508536122e+00, 1.000000000000000e-10, 1.078203403414449e+00, 1.183125881664325e+00, 0.000000000000000e+00, 1.293750203860209e-01, 6.264678977611167e-08, 5.287296872616881e-03, 1.448322228668805e-05, 6.853599898326392e-04, -7.065646301122334e+04, 1.922606852433011e+01, 1.160049870311317e-08
990, 7.977604548068999e-01, 1.329389623593000e-01, -5.989151121451201e-03, 9.020804323133065e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.704683179275353e+00, 1.000000000000000e-10, 1.081873271710141e+00, 1.183315533934028e+00, 0.000000000000000e+00, 1.367147569774047e-01, 6.265426701658291e-08, 5.270829425958840e-03, 1.377630620783183e-05, 6.718636318269772e-04, -7.031630788466964e+04, 1.927313713258252e+01, 1.160049870311317e-08
991, 7.847356742091000e-01, 1.331005728972000e-01, -7.641297803615100e-03, 9.061590041272736e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.717579954209567e+00, 1.000000000000000e-10, 1.087031981683827e+00, 1.183606518008668e+00, 0.000000000000000e+00, 1.470321769247764e-01, 6.266573819703583e-08, 5.246739397401745e-03, 1.282435019201693e-05, 6.532646185078886e-04, -6.982857355837978e+04, 1.933370644072072e+01, 1.160049870311317e-08
992, 7.707100088070000e-01, 1.332693608091000e-01, -9.370957852143900e-03, 9.115472246635087e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.734682758091901e+00, 1.000000000000000e-10, 1.093873103236760e+00, 1.184015007874103e+00, 0.000000000000000e+00, 1.607144200306436e-01, 6.268183929732691e-08, 5.214457281748916e-03, 1.161270762177094e-05, 6.287788582836739e-04, -6.918627797440731e+04, 1.942524858818477e+01, 1.160049870311317e-08
