"PointID"	"x"	"y"	"Temperature"	"Heat_Flux"
27	1.004429836171232e+01	2.057571793690869e-01	3.416713512194733e+02	-2.432643141264565e+00	
28	1.004758647379765e+01	2.128896458476839e-01	3.416630084323980e+02	-2.438778741805045e+00	
29	1.005098621215093e+01	2.199695849917176e-01	3.416546306653941e+02	-2.444982115290966e+00	
30	1.005449673793760e+01	2.269952499321439e-01	3.416462429125968e+02	-2.451241738275633e+00	
31	1.005811718498794e+01	2.339649071912665e-01	3.416378702643632e+02	-2.457545546625994e+00	
32	1.006184666001083e+01	2.408768371104465e-01	3.416295378042049e+02	-2.463881311743411e+00	
33	1.006568424281410e+01	2.477293342744021e-01	3.416212704958612e+02	-2.470236699971731e+00	
34	1.006962898653162e+01	2.545207079319946e-01	3.416130930435236e+02	-2.476598877927489e+00	
35	1.007367991785692e+01	2.612492824133960e-01	3.416050297856476e+02	-2.482954108671951e+00	
36	1.007783603728329e+01	2.679133975435353e-01	3.415971046844115e+02	-2.489287645924212e+00	
37	1.008209631935045e+01	2.745114090517217e-01	3.415893414414908e+02	-2.495584316172457e+00	
38	1.008645971289757e+01	2.810416889773443e-01	3.415817636592289e+02	-2.501828983369744e+00	
39	1.009092514132256e+01	2.875026260715464e-01	3.415743950075129e+02	-2.508007119442623e+00	
40	1.009549150284779e+01	2.938926261947776e-01	3.415672593349042e+02	-2.514105427646417e+00	
41	1.010015767079188e+01	3.002101127101234e-01	3.415603806330918e+02	-2.520111798848228e+00	
42	1.010492249384770e+01	3.064535268723173e-01	3.415537828590868e+02	-2.526014296667533e+00	
43	1.010978479636647e+01	3.126213282123371e-01	3.415474897720001e+02	-2.531800427404038e+00	
44	1.011474337864780e+01	3.187119949174936e-01	3.415415248942214e+02	-2.537457427384334e+00	
45	1.011979701723570e+01	3.247240242069142e-01	3.415359115397956e+02	-2.542972886259223e+00	
46	1.012494446522048e+01	3.306559327023320e-01	3.415306728047736e+02	-2.548334530279403e+00	
47	1.013018445254636e+01	3.365062567940871e-01	3.415258315850300e+02	-2.553531230794572e+00	
48	1.013551568632489e+01	3.422735530022507e-01	3.415214104302797e+02	-2.558552021383512e+00	
49	1.014093685115390e+01	3.479563983327816e-01	3.415174314095105e+02	-2.563385834384557e+00	
50	1.014644660944208e+01	3.535533906286291e-01	3.415139160140819e+02	-2.568021504035511e+00	
51	1.015204360173903e+01	3.590631489156941e-01	3.415108850765898e+02	-2.572447159603323e+00	
52	1.015772644707065e+01	3.644843137435640e-01	3.415083588203024e+02	-2.576650725537022e+00	
53	1.016349374327988e+01	3.698155475209365e-01	3.415063569564701e+02	-2.580620481242616e+00	
54	1.016934406737268e+01	3.750555348456501e-01	3.415048987536211e+02	-2.584345347781058e+00	
55	1.017527597586913e+01	3.802029828292406e-01	3.415040030384048e+02	-2.587814068856205e+00	
56	1.018128800515956e+01	3.852566214159412e-01	3.415036882956031e+02	-2.591015697896287e+00	
57	1.018737867186571e+01	3.902152036960503e-01	3.415039727959085e+02	-2.593940165933153e+00	
58	1.019354647320670e+01	3.950775062135873e-01	3.415048746739286e+02	-2.596578437221911e+00	
59	1.019978988736984e+01	3.998423292681625e-01	3.415064119567725e+02	-2.598922823738430e+00	
60	1.020610737388612e+01	4.045084972109851e-01	3.415086024915542e+02	-2.600966636713088e+00	
61	1.021249737401027e+01	4.090748587349369e-01	3.415114638389337e+02	-2.602704131965440e+00	
62	1.021895831110536e+01	4.135402871586401e-01	3.415150131301197e+02	-2.604130908876558e+00	
63	1.022548859103186e+01	4.179036807044491e-01	3.415192667890063e+02	-2.605243406454236e+00	
64	1.023208660254090e+01	4.221639627702973e-01	3.415242401589930e+02	-2.606037503024377e+00	
65	1.023875071767187e+01	4.263200821953336e-01	3.415299472257183e+02	-2.606507358275731e+00	
66	1.024547929215408e+01	4.303710135192792e-01	3.415364005938297e+02	-2.606645571307550e+00	
67	1.025227066581246e+01	4.343157572354457e-01	3.415436116847932e+02	-2.606444091196669e+00	
68	1.025912316297718e+01	4.381533400373479e-01	3.415515910259981e+02	-2.605895198307614e+00	
69	1.026603509289711e+01	4.418828150588525e-01	3.415603485100144e+02	-2.604992360620587e+00	
70	1.027300475015696e+01	4.455032621078037e-01	3.415698935137198e+02	-2.603730291579335e+00	
71	1.028003041509809e+01	4.490137878930660e-01	3.415802348753930e+02	-2.602103898584542e+00	
72	1.028711035424280e+01	4.524135262449316e-01	3.415913809212628e+02	-2.600108157700864e+00	
73	1.029424282072205e+01	4.557016383288335e-01	3.416033395561668e+02	-2.597738459362526e+00	
74	1.030142605470647e+01	4.588773128523164e-01	3.416161183680940e+02	-2.594991306107690e+00	
75	1.030865828384055e+01	4.619397662652104e-01	3.416297246346179e+02	-2.591864114840696e+00	
76	1.031593772367998e+01	4.648882429529607e-01	3.416441652758444e+02	-2.588354862698230e+00	
77	1.032326257813189e+01	4.677220154230636e-01	3.416594468217703e+02	-2.584462629658362e+00	
78	1.033063103989805e+01	4.704403844845650e-01	3.416755752881718e+02	-2.580187374523655e+00	
79	1.033804129092079e+01	4.730426794205749e-01	3.416925559890286e+02	-2.575529375072640e+00	
80	1.034549150283155e+01	4.755282581537572e-01	3.417103933676020e+02	-2.570489068517197e+00	
81	1.035297983740201e+01	4.778965074047519e-01	3.417290908555920e+02	-2.565067100332483e+00	
82	1.036050444699767e+01	4.801468428434934e-01	3.417486507373784e+02	-2.559264569711130e+00	
83	1.036806347503371e+01	4.822787092333848e-01	3.417690739551228e+02	-2.553082583425282e+00	
84	1.037565505643307e+01	4.842915805682946e-01	3.417903599107437e+02	-2.546521632998754e+00	
85	1.038327731808663e+01	4.861849602023400e-01	3.418125063413589e+02	-2.539580754077886e+00	
86	1.039092837931539e+01	4.879583809724277e-01	3.418355094096402e+02	-2.532258164779269e+00	
87	1.039860635233447e+01	4.896114053135192e-01	3.418593639056311e+02	-2.524552211173133e+00	
